Product Name,Price,Rating
"APPLE iPhone 12 (Blue, 128 GB)","₹82,900",4.6
"APPLE iPhone SE (Black, 128 GB)","₹37,999",4.5
"APPLE iPhone 12 (Black, 128 GB)","₹82,900",4.6
"APPLE iPhone XR (White, 64 GB)","₹41,999",4.6
"APPLE iPhone 12 (White, 128 GB)","₹82,900",4.6
"APPLE iPhone SE (White, 64 GB)","₹32,999",4.5
"APPLE iPhone 12 Mini (Black, 128 GB)","₹72,900",4.5
"APPLE iPhone XR ((PRODUCT)RED, 64 GB)","₹41,999",4.6
"APPLE iPhone SE (White, 128 GB)","₹37,999",4.5
"APPLE iPhone 11 (Black, 64 GB)","₹51,999",4.6
"APPLE iPhone 12 (Blue, 64 GB)","₹77,900",4.6
"APPLE iPhone 12 (Green, 128 GB)","₹82,900",4.6
"APPLE iPhone SE (Red, 128 GB)","₹37,999",4.5
"APPLE iPhone 12 Mini (Blue, 128 GB)","₹72,900",4.5
"APPLE iPhone 12 (Purple, 64 GB)","₹79,900",4.6
"APPLE iPhone 12 Mini (White, 128 GB)","₹72,900",4.5
"APPLE iPhone 12 Mini (Black, 64 GB)","₹67,900",4.5
"APPLE iPhone 12 (Purple, 128 GB)","₹84,900",4.6
"APPLE iPhone 12 Mini (Red, 128 GB)","₹72,900",4.5
"APPLE iPhone XR (Black, 64 GB)","₹41,999",4.6
"APPLE iPhone 12 (White, 64 GB)","₹77,900",4.6
"APPLE iPhone XR (Black, 128 GB)","₹46,999",4.6
"APPLE iPhone 12 (Red, 128 GB)","₹82,900",4.6
"APPLE iPhone SE (Red, 64 GB)","₹32,999",4.5
